dma_boundary UniqueID,Latitude,Longitude,point_order,sub_polygon_id,Media Market
199,27.4089,-97.5591,46,1,"Corpus Christi, TX"
199,27.3963,-97.4749,47,1,"Corpus Christi, TX"
199,27.2844,-97.6132,48,1,"Corpus Christi, TX"
199,27.4043,-97.6872,49,1,"Corpus Christi, TX"
199,27.4524,-97.7703,50,1,"Corpus Christi, TX"
199,27.3052,-97.6545,51,1,"Corpus Christi, TX"
199,27.2783,-97.7771,52,1,"Corpus Christi, TX"
199,27.2625,-97.4232,53,1,"Corpus Christi, TX"
199,27.0881,-97.5067,54,1,"Corpus Christi, TX"
199,26.9987,-97.4784,55,1,"Corpus Christi, TX"
199,26.998,-97.5615,56,1,"Corpus Christi, TX"
199,26.9833,-97.5746,57,1,"Corpus Christi, TX"
199,26.8824,-97.5231,58,1,"Corpus Christi, TX"
199,26.8492,-97.5865,59,1,"Corpus Christi, TX"
199,26.7588,-97.4715,60,1,"Corpus Christi, TX"
199,26.5998,-97.4449,61,1,"Corpus Christi, TX"
199,26.6158,-97.9853,62,1,"Corpus Christi, TX"
199,26.7809,-97.9855,63,1,"Corpus Christi, TX"
199,26.7857,-98.9542,64,1,"Corpus Christi, TX"
198,36.8545,-85.2155,1,1,"Lexington, KY"
198,36.8978,-85.2752,2,1,"Lexington, KY"
198,37.186,-85.0432,3,1,"Lexington, KY"
198,37.3105,-85.1651,4,1,"Lexington, KY"
198,37.4121,-85.0448,5,1,"Lexington, KY"
198,37.8536,-85.0007,6,1,"Lexington, KY"
198,37.8908,-85.1471,7,1,"Lexington, KY"
198,37.9977,-85.1695,8,1,"Lexington, KY"
198,38.0723,-85.0479,9,1,"Lexington, KY"
198,38.3356,-84.9975,10,1,"Lexington, KY"
198,38.3497,-84.7456,11,1,"Lexington, KY"
198,38.5655,-84.4114,12,1,"Lexington, KY"
198,38.5821,-84.2054,13,1,"Lexington, KY"
198,38.4867,-84.1723,14,1,"Lexington, KY"
198,38.4224,-83.9992,15,1,"Lexington, KY"
198,38.4924,-83.9303,16,1,"Lexington, KY"
198,38.5254,-83.642,17,1,"Lexington, KY"
198,38.4299,-83.58,18,1,"Lexington, KY"
198,38.3896,-83.4006,19,1,"Lexington, KY"
198,38.2098,-83.3012,20,1,"Lexington, KY"
198,38.1696,-83.199,21,1,"Lexington, KY"
198,38.0592,-83.2681,22,1,"Lexington, KY"
198,38.0096,-83.0243,23,1,"Lexington, KY"
198,37.9129,-82.9618,24,1,"Lexington, KY"
198,37.8591,-83.0046,25,1,"Lexington, KY"
198,37.8927,-83.1314,26,1,"Lexington, KY"
198,37.7692,-83.2705,27,1,"Lexington, KY"
198,37.6775,-83.2574,28,1,"Lexington, KY"
198,37.4254,-82.7627,29,1,"Lexington, KY"
198,37.2853,-82.7108,30,1,"Lexington, KY"
198,37.1695,-83.0486,31,1,"Lexington, KY"
198,37.0295,-83.0496,32,1,"Lexington, KY"
198,36.9922,-83.1107,33,1,"Lexington, KY"
198,37.021,-83.1851,34,1,"Lexington, KY"
198,37.1757,-83.2035,35,1,"Lexington, KY"
198,37.3207,-83.3983,36,1,"Lexington, KY"
198,37.2913,-83.4721,37,1,"Lexington, KY"
198,37.1676,-83.5515,38,1,"Lexington, KY"
198,36.9384,-83.509,39,1,"Lexington, KY"
198,36.9558,-83.5895,40,1,"Lexington, KY"
198,36.9043,-83.5813,41,1,"Lexington, KY"
198,36.8007,-83.786,42,1,"Lexington, KY"
198,36.6452,-83.9564,43,1,"Lexington, KY"
198,36.5877,-83.931,44,1,"Lexington, KY"
198,36.5922,-84.2274,45,1,"Lexington, KY"
198,36.8098,-84.356,46,1,"Lexington, KY"
198,36.9459,-84.2972,47,1,"Lexington, KY"
198,36.9622,-84.3628,48,1,"Lexington, KY"
198,36.8631,-84.5904,49,1,"Lexington, KY"
198,36.6033,-84.778,50,1,"Lexington, KY"
198,36.6191,-84.9897,51,1,"Lexington, KY"
198,36.8589,-85.0643,52,1,"Lexington, KY"
198,36.8545,-85.2155,53,1,"Lexington, KY"
197,31.002,-89.8359,1,1,"Jackson, MS"
197,30.9997,-90.5477,2,1,"Jackson, MS"
197,31.3496,-90.5482,3,1,"Jackson, MS"
197,31.32,-91.1115,4,1,"Jackson, MS"
197,31.3737,-91.2333,5,1,"Jackson, MS"
197,31.3196,-91.4684,6,1,"Jackson, MS"
197,31.2285,-91.4864,7,1,"Jackson, MS"
197,31.1911,-91.5895,8,1,"Jackson, MS"
